# gzTag	tppTag	jaccard	cooccur	sameId
011a43160910	98736ff23fa2	0.593	64	0
07bc197db241	994e89db2657	0.600	3	0
07f3fc5c8179	d59b897e4377	0.750	6	0
1b514e62272d	8d2e1667ad37	0.750	3	0
1f5e115f84bc	3d735cbc03e8	1.000	7	0
2f8dc9baef5e	d46c1a3c3f6f	0.500	5	0
331c94dca297	1cf4b93bd4fc	1.000	3	0
3cee8e3ab7b8	651775e121dc	1.000	7	0
47c8db8bc437	b7b2c176964a	1.000	4	0
49a67b579157	49a67b579157	0.689	397	1
5630510bf914	b7b2c176964a	1.000	4	0
57f5f85d3326	b2da37b234e6	1.000	3	0
5b137c04e52e	8c5df4390de1	0.857	6	0
601e6f109c55	71ca30dd5b19	1.000	3	0
65562fc66467	ad34c6e47451	0.500	3	0
66b920de224c	35389ac11019	0.536	30	0
6ed0177f0339	68340d67f4a2	0.714	5	0
72ab0f8d1513	72ab0f8d1513	0.600	3	1
73f127834d0f	3d735cbc03e8	1.000	7	0
77ce28df6962	c01b3023b830	0.500	7	0
7a4db14d320a	7a4db14d320a	0.561	361	1
7b1f790d0458	68340d67f4a2	0.857	6	0
85b6e013e8ee	ad34c6e47451	0.500	3	0
86133e4b5f2f	700625512558	0.500	19	0
962871413945	da3a6acb3369	0.857	6	0
972df567ebf7	9acd47ed07ce	0.600	3	0
98520d7b10f5	7530d0c70b3a	0.600	3	0
98736ff23fa2	98736ff23fa2	0.651	84	1
a0438ac51796	9fc28acfb667	0.667	6	0
a373d74b20d1	ef55713026a9	0.500	3	0
b07c03c2ff0c	3d735cbc03e8	1.000	7	0
bcaa32bbeeeb	ca2140d36e37	0.576	19	0
c05dceb650fa	ed00aa16a90c	1.000	7	0
c9de8822925d	b8a0bf169f98	0.590	230	0
cab7eadae50f	994e89db2657	0.500	4	0
cc5a39cce792	4da5f32ab93d	0.500	4	0
cf4874b83097	cf4874b83097	0.514	18	1
cf59637f07a1	35389ac11019	1.000	30	0
d93eac8a19ce	3d735cbc03e8	1.000	7	0
db8304c0063f	8caebf5fa8b5	1.000	22	0
e3407e898b8b	e3407e898b8b	0.714	5	1
e90f7cac4fa6	994e89db2657	0.500	3	0
ec22e051d2e3	b7b2c176964a	1.000	4	0
ed2509323e4b	3d735cbc03e8	1.000	7	0
eeddd616ce96	8c5df4390de1	0.714	5	0
f7cae2aaacdc	32f1a08ecc21	0.667	10	0
ff591a7e72c5	ef55713026a9	0.500	3	0
