da8fd714fb6b	Alert
a45047eeefd3	Attack
6c1ee4c46a1e	AttackHold
c22e35671b6c	Back
ae72907efa1e	BackStep
e6d1213f4dd9	Behind
580caaad7d53	Camera
39c2dfa81351	Cancel
f94a72f78e02	Carry
374ed626b49a	Choke
8b6d829a9b04	ChokeEnd
0e8678cb47a5	Cqc
98736ff23fa2	Crawl
6d1c8427a9d9	Cure
2733a232bec7	Damage
bbf00e99d4af	Dash
6f6a13a8bdeb	DashEnd
d25acfc364d6	Dead
3400b9f29509	Dive
353c7d75a33d	Down
76e1edbbaabd	DownRecover
57fba596c9eb	End
a719233715ad	Evade
83eaf0f06f52	Fall
f7cae2aaacdc	FallDown
8031586791b0	FireEnd
b37a281091c2	ForceIdle
2918d639650d	Front
36f12a01125b	Ground
ec4c95f18aa6	GunFire
f8f27f35961d	GunHold
99d729af700f	Hang
164085b82418	Heli
09f4b983aed2	Hold
e9e08d0a18c0	HoldEnd
b203f868f612	Holding
bb167f159916	Horse
384e0e4abc83	Idle
1b6a8bcf42eb	Jump
ab0f9bdfccaa	Kick
ff91a2e36266	Ladder
a6b252b542b7	LadderEnd
994e89db2657	Left
b3afd5234e83	LeftIn
dabfa82d67d3	LeftWall
5212fa82af39	Move
66b920de224c	MoveLoop
e9f79566c155	MoveStart
7b47bc62db87	MoveStop
4fec2de60f8e	NoHold
62bcc8f4fcb6	Normal
f5b43572403b	OnProne
9abdb2b0a93e	Open
011a43160910	Prone
1742b3239b80	Punch
386d87201144	Relax
8d0e0e94098b	ReloadEnd
693ba2f5ea26	ReloadLoop
2ad24156ebb9	ReloadStart
dc662bd49ab6	Ride
9f231bf3d65c	RideIdle
f07b9362d5d4	RideOff
2ca13b9318c3	RideOn
a98113e1a88e	Right
8cde3298d705	RightIn
c74eea993733	RightWall
fd300d105150	Run
009f15e71061	Sit
49a67b579157	Squat
7a4db14d320a	Stand
e96dc6670d02	Start
437b43f1ab34	StepDown
c9b44c2c65a1	StepOn
a43da0197076	Stop
cf4874b83097	Throw
e4cd327deb03	ThrowHold
6c80cd0b91d8	ThrowStart
3e23247ea649	Turn
c40a1f320eb9	TurnRight
396478ef89ec	Up
f4cd88fb8ae1	Upper
42b80b892778	UpperHold
647fb308939b	Vehicle
e90f7cac4fa6	Wall
72ab0f8d1513	init
